adult,id,original_language,original_title,overview,popularity,release_date,title,vote_average,vote_count,release_year,weighted_rating
False,45317,en,The Fighter,boxer irish micky wards unlikely road to the world light welterweight title his rockylike rise was shepherded by halfbrother dicky a boxerturnedtrainer who rebounded in life after nearly being kod by drugs and crime,4.9883,2010-12-10,The Fighter,7.38,4694,2010,6.974925176692761
False,9533,en,Red Dragon,former fbi agent will graham who was once almost killed by the savage hannibal the cannibal lecter now has no choice but to face him again as it seems lecter is the only one who can help graham track down a new serial killer,1.9527,2002-10-02,Red Dragon,7.04,4692,2002,6.851726344572825
False,4233,en,Scream 2,two years after the woodsboro murders sidney prescott acclimates to college life while someone donning the ghostface costume begins a new string of killings,7.8749,1997-12-12,Scream 2,6.513,4685,1997,6.660945019035462
False,400155,en,Hotel Transylvania 3: Summer Vacation,dracula mavis johnny and the rest of the drac pack take a vacation on a luxury monster cruise ship where dracula falls in love with the ships captain ericka whos secretly a descendant of abraham van helsing the notorious monster slayer,36.294,2018-06-28,Hotel Transylvania 3: Summer Vacation,6.85,4682,2018,6.782863062128538
False,71552,en,American Reunion,the characters we met a little more than a decade ago return to east great falls for their high school reunion in one longoverdue weekend they will discover what has changed who hasnt and that time and distance cant break the bonds of friendship,7.7177,2012-04-04,American Reunion,6.301,4682,2012,6.5843046552813185
False,1907,en,The Beach,twentysomething richard travels to thailand and finds himself in possession of a strange map rumours state that it leads to a solitary beach paradise a tropical bliss  excited and intrigued he sets out to find it,6.5577,2000-02-03,The Beach,6.483,4680,2000,6.6501549426332165
False,397243,en,The Autopsy of Jane Doe,father and son coroners receive a mysterious unidentified corpse with no apparent cause of death as they attempt to examine the jane doe they discover increasingly bizarre clues that hold the key to her terrifying secrets,10.1964,2016-12-21,The Autopsy of Jane Doe,6.835,4679,2016,6.7774246263814115
False,391,it,Per un pugno di dollari,the man with no name enters the mexican village of san miguel in the midst of a power struggle among the three rojo brothers and sheriff john baxter when a regiment of mexican soldiers bearing gold intended to pay for new weapons is waylaid by the rojo brothers the stranger inserts himself into the middle of the longsimmering battle selling false information to both sides for his own benefit,8.2594,1964-09-12,A Fistful of Dollars,7.824,4675,1964,7.134759744982283
False,9522,en,Wedding Crashers,john and his buddy jeremy are emotional criminals who know how to use a womans hopes and dreams for their own carnal gain their modus operandi crashing weddings normally they meet guests who want to toast the romantic day with a random hookup but when john meets claire he discovers what true love  and heartache  feels like,8.1673,2005-07-13,Wedding Crashers,6.495,4673,2005,6.65458013701484
False,136797,en,Need for Speed,the film revolves around a local streetracer who partners with a rich and arrogant business associate only to find himself framed by his colleague and sent to prison after he gets out he joins a new yorktolos angeles race to get revenge but when the expartner learns of the scheme he puts a massive bounty on the racers head forcing him to run a crosscountry gauntlet of illegal racers in all manner of supercharged vehicles,6.4954,2014-03-12,Need for Speed,6.432,4671,2014,6.631853621697085
False,4347,en,Atonement,a young girl irrevocably changes the course of several lives when she accuses her older sisters lover of a crime he did not commit,8.373,2007-02-27,Atonement,7.634,4664,2007,7.065624292934293
False,9732,en,The Lion King II: Simba's Pride,the circle of life continues for simba now fully grown and in his rightful place as the king of pride rock simba and nala have given birth to a daughter kiara whos as rebellious as her father was but kiara drives her parents to distraction when she catches the eye of kovu the son of the evil lioness zira will kovu steal kiaras heart,9.3269,1998-10-24,The Lion King II: Simba's Pride,6.9,4652,1998,6.800716623912445
False,10515,ja,天空の城ラピュタ,a young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle,8.0877,1986-08-02,Castle in the Sky,7.971,4652,1986,7.186480285897361
